"Company","Product","TypeName","Inches","Cpu","Ram","PrimaryMemSize","PrimaryMemType","SecondaryMemory","OpSys","Weight","Price_euros","Model","Inches_Binned","ResolutionWidth","ResolutionHeight","DisplayType","Touchscreen","IPS_Panel","RetinaDisplay","CpuBrand","CpuProduct","CpuClockSpeed_GHz","Ram_GB","Gpu_Brand","Gpu_Product","Weight_kg"
"HP","250 G6","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","4GB","500GB","HDD","0","No OS","1.86kg",393.9,"250","4",1366,768,NA,"0","0","0","Intel","i5",5,4,"Intel","HD",1.86
"HP","250 G6","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","500GB","HDD","0","No OS","1.86kg",344.99,"250","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,4,"Intel","HD",1.86
"Apple","MacBook Pro","Ultrabook",15.4,"Intel Core i7 2.8GHz","16GB","256GB","SSD","0","macOS","1.83kg",2439.97,"MacBook","4",2880,1800,"Retina Display","0","1","1","Intel","i7",7,16,"AMD","Radeon",1.83
"Dell","Inspiron 3567","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","256GB","SSD","0","Windows 10","2.2kg",498.9,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,4,"AMD","Radeon",2.2
"Apple","MacBook 12""","Ultrabook",12,"Intel Core M m3 1.2GHz","8GB","256GB","SSD","0","macOS","0.92kg",1262.4,"MacBook","1",2304,1440,"Retina Display","0","1","1","Intel",NA,3,8,"Intel","HD",0.92
"Apple","MacBook Pro","Ultrabook",13.3,"Intel Core i5 2.3GHz","8GB","256GB","SSD","0","macOS","1.37kg",1518.55,"MacBook","2",2560,1600,"Retina Display","0","1","1","Intel","i5",5,8,"Intel","Iris",1.37
"Dell","Inspiron 3567","Notebook",15.6,"Intel Core i7 7500U 2.7GHz","8GB","256GB","SSD","0","Windows 10","2.2kg",745,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"AMD","Radeon",2.2
"Apple","MacBook Pro","Ultrabook",15.4,"Intel Core i7 2.9GHz","16GB","512GB","SSD","0","macOS","1.83kg",2858,"MacBook","4",2880,1800,"Retina Display","0","1","1","Intel","i7",7,16,"AMD","Radeon",1.83
"Lenovo","IdeaPad 320-15IKB","Notebook",15.6,"Intel Core i3 7100U 2.4GHz","8GB","1TB","HDD","0","No OS","2.2kg",499,"IdeaPad","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,8,"Nvidia","GeForce",2.2
"Dell","XPS 13","Ultrabook",13.3,"Intel Core i5 8250U 1.6GHz","8GB","128GB","SSD","0","Windows 10","1.22kg",979,"XPS","2",1920,1080,"Full HD","1","1","0","Intel","i5",5,8,"Intel","UHD",1.22
"Asus","Vivobook E200HA","Netbook",11.6,"Intel Atom x5-Z8350 1.44GHz","2GB","32GB","Flash Storage","0","Windows 10","0.98kg",191.9,"Vivobook","0",1366,768,NA,"0","0","0","Intel",NA,5,2,"Intel","HD",0.98
"Lenovo","Legion Y520-15IKBN","Gaming",15.6,"Intel Core i5 7300HQ 2.5GHz","8GB","128GB","SSD","1","Windows 10","2.5kg",999,"Legion","4",1920,1080,"Full HD","0","1","0","Intel","i5",5,8,"Nvidia","GeForce",2.5
"HP","255 G6","Notebook",15.6,"AMD E-Series E2-9000e 1.5GHz","4GB","500GB","HDD","0","No OS","1.86kg",258,"255","4",1366,768,NA,"0","0","0","AMD",NA,2,4,"AMD","Radeon",1.86
"Dell","Inspiron 5379","2 in 1 Convertible",13.3,"Intel Core i5 8250U 1.6GHz","8GB","256GB","SSD","0","Windows 10","1.62kg",819,"Inspiron","2",1920,1080,"Full HD","1","0","0","Intel","i5",5,8,"Intel","UHD",1.62
"HP","15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)","Ultrabook",15.6,"Intel Core i7 8550U 1.8GHz","8GB","256GB","SSD","0","Windows 10","1.91kg",659,"15-BS101nv","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"Intel","HD",1.91
"Dell","Inspiron 3567","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","1TB","HDD","0","Windows 10","2.3kg",418.64,"Inspiron","4",1366,768,NA,"0","0","0","Intel","i3",3,4,"Intel","HD",2.3
"Apple","MacBook Air","Ultrabook",13.3,"Intel Core i5 1.6GHz","8GB","128GB","Flash Storage","0","macOS","1.35kg",1099,"MacBook","2",1440,900,NA,"0","0","0","Intel","i5",5,8,"Intel","HD",1.35
"Dell","Inspiron 5570","Notebook",15.6,"Intel Core i5 8250U 1.6GHz","8GB","256GB","SSD","0","Windows 10","2.2kg",800,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"AMD","Radeon",2.2
"Dell","Latitude 5590","Ultrabook",15.6,"Intel Core i7 8650U 1.9GHz","8GB","256GB","SSD","1","Windows 10","1.88kg",1298,"Latitude","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"Intel","UHD",1.88
"HP","ProBook 470","Notebook",17.3,"Intel Core i5 8250U 1.6GHz","8GB","1TB","HDD","0","Windows 10","2.5kg",896,"ProBook","5",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Nvidia","GeForce",2.5
"Other","LapBook 15.6""","Notebook",15.6,"Intel Atom x5-Z8300 1.44GHz","4GB","64GB","Flash Storage","0","Windows 10","1.89kg",244.99,"LapBook","4",1920,1080,"Full HD","0","0","0","Intel",NA,5,4,"Intel","HD",1.89
"Asus","E402WA-GA010T (E2-6110/2GB/32GB/W10)","Notebook",14,"AMD E-Series E2-6110 1.5GHz","2GB","32GB","Flash Storage","0","Windows 10","1.65kg",199,"E402WA-GA010T","3",1366,768,NA,"0","0","0","AMD",NA,2,2,"AMD","Radeon",1.65
"HP","17-ak001nv (A6-9220/4GB/500GB/Radeon","Notebook",17.3,"AMD A6-Series 9220 2.5GHz","4GB","500GB","HDD","0","Windows 10","2.71kg",439,"17-ak001nv","5",1920,1080,"Full HD","0","0","0","AMD",NA,6,4,"AMD","Radeon",2.71
"Dell","XPS 13","Ultrabook",13.3,"Intel Core i7 8550U 1.8GHz","16GB","512GB","SSD","0","Windows 10","1.2kg",1869,"XPS","2",3200,1800,"Quad HD+","1","0","0","Intel","i7",7,16,"Intel","UHD",1.2
"Apple","MacBook Air","Ultrabook",13.3,"Intel Core i5 1.6GHz","8GB","256GB","Flash Storage","0","macOS","1.35kg",998,"MacBook","2",1440,900,NA,"0","0","0","Intel","i5",5,8,"Intel","HD",1.35
"Lenovo","IdeaPad 120S-14IAP","Notebook",14,"Intel Celeron Dual Core N3350 1.1GHz","4GB","64GB","Flash Storage","0","Windows 10","1.44kg",249,"IdeaPad","3",1366,768,NA,"0","0","0","Intel","N3350",3350,4,"Intel","HD",1.44
"Acer","Aspire 3","Notebook",15.6,"Intel Core i3 7130U 2.7GHz","4GB","1TB","HDD","0","Linux","2.1kg",367,"Aspire","4",1366,768,NA,"0","0","0","Intel","i3",3,4,"Intel","HD",2.1
"Dell","Inspiron 5770","Notebook",17.3,"Intel Core i5 8250U 1.6GHz","8GB","128GB","SSD","1","Windows 10","2.8kg",979,"Inspiron","5",1920,1080,"Full HD","0","1","0","Intel","i5",5,8,"AMD","Radeon",2.8
"HP","250 G6","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","4GB","1TB","HDD","0","Windows 10","1.86kg",488.69,"250","4",1366,768,NA,"0","0","0","Intel","i5",5,4,"Intel","HD",1.86
"HP","ProBook 450","Notebook",15.6,"Intel Core i5 8250U 1.6GHz","8GB","256GB","SSD","0","Windows 10","2.1kg",879,"ProBook","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Nvidia","GeForce",2.1
"Asus","X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","1TB","HDD","0","Linux","2kg",389,"X540UA-DM186","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,4,"Intel","HD",2
"Dell","Inspiron 7577","Gaming",15.6,"Intel Core i7 7700HQ 2.8GHz","16GB","256GB","SSD","1","Windows 10","2.65kg",1499,"Inspiron","4",1920,1080,"Full HD","0","1","0","Intel","i7",7,16,"Nvidia","GeForce",2.65
"Asus","X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","8GB","1TB","HDD","0","Linux","2.3kg",522.99,"X542UQ-GO005","4",1366,768,NA,"0","0","0","Intel","i5",5,8,"Nvidia","GeForce",2.3
"Acer","Aspire A515-51G","Notebook",15.6,"Intel Core i5 8250U 1.6GHz","4GB","256GB","SSD","0","Windows 10","2.2kg",682,"Aspire","4",1920,1080,"Full HD","0","1","0","Intel","i5",5,4,"Intel","UHD",2.2
"Dell","Inspiron 7773","2 in 1 Convertible",17.3,"Intel Core i5 8250U 1.6GHz","12GB","1TB","HDD","0","Windows 10","2.77kg",999,"Inspiron","5",1920,1080,"Full HD","1","0","0","Intel","i5",5,12,"Nvidia","GeForce",2.77
"Apple","MacBook Pro","Ultrabook",13.3,"Intel Core i5 2.0GHz","8GB","256GB","SSD","0","macOS","1.37kg",1419,"MacBook","2",2560,1600,"Retina Display","0","1","1","Intel","i5",5,8,"Intel","Iris",1.37
"Lenovo","IdeaPad 320-15ISK","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","128GB","SSD","0","No OS","2.2kg",369,"IdeaPad","4",1366,768,NA,"0","0","0","Intel","i3",3,4,"Intel","HD",2.2
"Asus","Rog Strix","Gaming",17.3,"AMD Ryzen 1700 3GHz","8GB","256GB","SSD","1","Windows 10","3.2kg",1299,"Rog","5",1920,1080,"Full HD","0","0","0","AMD",NA,1700,8,"AMD","Radeon",3.2
"Dell","Inspiron 3567","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","4GB","256GB","SSD","0","Windows 10","2.3kg",639,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,4,"AMD","Radeon",2.3
"Asus","X751NV-TY001T (N4200/4GB/1TB/GeForce","Notebook",17.3,"Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB","HDD","0","Windows 10","2.8kg",466,"X751NV-TY001T","5",1366,768,NA,"0","0","0","Intel","N4200",4200,4,"Nvidia","GeForce",2.8
"Lenovo","Yoga Book","2 in 1 Convertible",10.1,"Intel Atom x5-Z8550 1.44GHz","4GB","64GB","Flash Storage","0","Chrome/Android","0.69kg",319,"Yoga","0",1920,1200,NA,"1","1","0","Intel",NA,5,4,"Intel","HD",0.69
"Acer","Aspire A515-51G","Notebook",15.6,"Intel Core i7 8550U 1.8GHz","8GB","256GB","SSD","0","Windows 10","2.2kg",841,"Aspire","4",1920,1080,"Full HD","0","1","0","Intel","i7",7,8,"Nvidia","GeForce",2.2
"HP","255 G6","Notebook",15.6,"AMD A6-Series 9220 2.5GHz","4GB","256GB","SSD","0","Windows 10","1.86kg",398.49,"255","4",1920,1080,"Full HD","0","0","0","AMD",NA,6,4,"AMD","Radeon",1.86
"HP","ProBook 430","Notebook",13.3,"Intel Core i7 8550U 1.8GHz","8GB","512GB","SSD","0","Windows 10","1.49kg",1103,"ProBook","2",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"Intel","UHD",1.49
"Acer","Aspire 3","Notebook",15.6,"Intel Core i3 7100U 2.4GHz","4GB","1TB","HDD","0","Windows 10","2.4kg",384,"Aspire","4",1366,768,NA,"0","0","0","Intel","i3",3,4,"Intel","HD",2.4
"Dell","Inspiron 3576","Notebook",15.6,"Intel Core i7 8550U 1.8GHz","8GB","256GB","SSD","0","Windows 10","2.13kg",767.8,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"AMD","Radeon",2.13
"HP","15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","128GB","SSD","0","Windows 10","1.91kg",439,"15-bs002nv","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,4,"Intel","HD",1.91
"Asus","VivoBook Max","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","4GB","256GB","SSD","0","Windows 10","2kg",586.19,"VivoBook","4",1366,768,NA,"0","0","0","Intel","i5",5,4,"Intel","HD",2
"MSI","GS73VR 7RG","Gaming",17.3,"Intel Core i7 7700HQ 2.8GHz","16GB","256GB","SSD","1","Windows 10","2.43kg",2449,"GS73VR","5",1920,1080,"Full HD","0","0","0","Intel","i7",7,16,"Nvidia","GeForce",2.43
"Asus","X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","256GB","SSD","0","Linux","2kg",415,"X541UA-DM1897","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,4,"Intel","HD",2
"Dell","Inspiron 5770","Notebook",17.3,"Intel Core i7 8550U 1.8GHz","16GB","256GB","SSD","1","Windows 10","2.8kg",1299,"Inspiron","5",1920,1080,"Full HD","0","0","0","Intel","i7",7,16,"AMD","Radeon",2.8
"Dell","Vostro 5471","Ultrabook",14,"Intel Core i5 8250U 1.6GHz","8GB","256GB","SSD","0","Windows 10","1.7kg",879,"Vostro","3",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Intel","UHD",1.7
"Lenovo","IdeaPad 520S-14IKB","Notebook",14,"Intel Core i3 7130U 2.7GHz","8GB","256GB","SSD","0","No OS","1.7kg",599,"IdeaPad","3",1920,1080,"Full HD","0","1","0","Intel","i3",3,8,"Intel","HD",1.7
"Asus","UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)","Notebook",14,"Intel Core i5 8250U 1.6GHz","8GB","256GB","SSD","0","Windows 10","1.4kg",941,"UX410UA-GV350T","3",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Intel","UHD",1.4
"HP","250 G6","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","8GB","256GB","SSD","0","Windows 10","1.86kg",690,"250","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Intel","HD",1.86
"Asus","ZenBook Pro","Ultrabook",15.6,"Intel Core i7 7700HQ 2.8GHz","16GB","512GB","SSD","0","Windows 10","1.8kg",1983,"ZenBook","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,16,"Nvidia","GeForce",1.8
"HP","250 G6","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","500GB","HDD","0","Windows 10","1.86kg",438.69,"250","4",1366,768,NA,"0","0","0","Intel","i3",3,4,"AMD","Radeon",1.86
"HP","Stream 14-AX040wm","Notebook",14,"Intel Celeron Dual Core N3060 1.6GHz","4GB","32GB","SSD","0","Windows 10","1.44kg",229,"Stream","3",1366,768,NA,"0","0","0","Intel","N3060",3060,4,"Intel","HD",1.44
"Lenovo","V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","4GB","1TB","HDD","0","Windows 10","1.9kg",549,"V310-15ISK","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,4,"Intel","HD",1.9
"Asus","FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce","Gaming",17.3,"Intel Core i7 7700HQ 2.8GHz","12GB","1TB","HDD","0","Linux","3kg",949,"FX753VE-GC093","5",1920,1080,"Full HD","0","0","0","Intel","i7",7,12,"Nvidia","GeForce",3
"Other","Surface Laptop","Ultrabook",13.5,"Intel Core i5 7200U 2.5GHz","4GB","128GB","SSD","0","Windows 10","1.252kg",1089,"Surface","2",2256,1504,NA,"1","0","0","Intel","i5",5,4,"Intel","HD",1.252
"Dell","Inspiron 5370","Ultrabook",13.3,"Intel Core i7 8550U 1.8GHz","8GB","256GB","SSD","0","Windows 10","1.4kg",955,"Inspiron","2",1920,1080,"Full HD","0","1","0","Intel","i7",7,8,"AMD","Radeon",1.4
"Dell","Inspiron 5570","Notebook",15.6,"Intel Core i7 8550U 1.8GHz","8GB","256GB","SSD","0","Windows 10","2.2kg",870,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"AMD","Radeon",2.2
"MSI","GL72M 7RDX","Gaming",17.3,"Intel Core i5 7300HQ 2.5GHz","8GB","128GB","SSD","1","Windows 10","2.7kg",1095,"GL72M","5",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Nvidia","GeForce",2.7
"Acer","Aspire E5-475","Notebook",14,"Intel Core i3 6006U 2GHz","8GB","1TB","HDD","0","Windows 10","2.1kg",389,"Aspire","3",1366,768,NA,"0","0","0","Intel","i3",3,8,"Intel","HD",2.1
"Asus","FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce","Gaming",15.6,"Intel Core i7 7700HQ 2.8GHz","8GB","1TB","HDD","0","Windows 10","2.2kg",949,"FX503VD-E4022T","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"Nvidia","GeForce",2.2
"Lenovo","IdeaPad 320-15IKBN","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","8GB","2TB","HDD","0","No OS","2.2kg",519,"IdeaPad","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Intel","HD",2.2
"Dell","Inspiron 5570","Notebook",15.6,"Intel Core i7 8550U 1.8GHz","8GB","128GB","SSD","1","Windows 10","2.02kg",855,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"Intel","UHD",2.02
"Acer","Aspire A515-51G-32MX","Notebook",15.6,"Intel Core i3 7130U 2.7GHz","4GB","1TB","HDD","0","Windows 10","2.2kg",530,"Aspire","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,4,"Nvidia","GeForce",2.2
"HP","ProBook 470","Notebook",17.3,"Intel Core i5 8250U 1.6GHz","8GB","128GB","SSD","1","Windows 10","2.5kg",977,"ProBook","5",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Nvidia","GeForce",2.5
"Dell","Latitude 5590","Ultrabook",15.6,"Intel Core i5 8250U 1.6GHz","8GB","256GB","SSD","0","Windows 10","1.88kg",1096.16,"Latitude","4",1920,1080,"Full HD","0","1","0","Intel","i5",5,8,"Intel","UHD",1.88
"Apple","MacBook 12""","Ultrabook",12,"Intel Core i5 1.3GHz","8GB","512GB","SSD","0","macOS","0.92kg",1510,"MacBook","1",2304,1440,"Retina Display","0","1","1","Intel","i5",5,8,"Intel","HD",0.92
"HP","ProBook 440","Notebook",14,"Intel Core i5 8250U 1.6GHz","8GB","256GB","SSD","0","Windows 10","1.63kg",860,"ProBook","3",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Intel","HD",1.63
"Acer","Aspire 3","Notebook",15.6,"AMD A9-Series 9420 3GHz","4GB","1TB","HDD","0","Windows 10","2.1kg",395,"Aspire","4",1366,768,NA,"0","0","0","AMD",NA,9,4,"AMD","Radeon",2.1
"Dell","Inspiron 7577","Gaming",15.6,"Intel Core i7 7700HQ 2.8GHz","16GB","128GB","SSD","1","Windows 10","2.65kg",1349,"Inspiron","4",1920,1080,"Full HD","0","1","0","Intel","i7",7,16,"Nvidia","GeForce",2.65
"HP","Pavilion 15-CK000nv","Ultrabook",15.6,"Intel Core i7 8550U 1.8GHz","8GB","256GB","SSD","0","Windows 10","1.83kg",699,"Pavilion","4",1920,1080,"Full HD","0","1","0","Intel","i7",7,8,"Nvidia","GeForce",1.83
"HP","250 G6","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","8GB","256GB","SSD","0","Windows 10","1.96kg",598.99,"250","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Intel","HD",1.96
"Asus","FX503VM-E4007T (i7-7700HQ/16GB/1TB","Gaming",15.6,"Intel Core i7 7700HQ 2.8GHz","16GB","128GB","SSD","1","Windows 10","2.2kg",1449,"FX503VM-E4007T","4",1920,1080,"Full HD","0","1","0","Intel","i7",7,16,"Nvidia","GeForce",2.2
"Dell","XPS 13","Ultrabook",13.3,"Intel Core i7 8550U 1.8GHz","8GB","256GB","SSD","0","Windows 10","1.21kg",1649,"XPS","2",1920,1080,"Full HD","0","1","0","Intel","i7",7,8,"Intel","UHD",1.21
"Asus","FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon","Gaming",15.6,"AMD FX 9830P 3GHz","8GB","1TB","HDD","0","Windows 10","2.45kg",699,"FX550IK-DM018T","4",1920,1080,"Full HD","0","0","0","AMD",NA,9830,8,"AMD","Radeon",2.45
"Acer","Aspire 5","Notebook",15.6,"Intel Core i7 8550U 1.8GHz","8GB","1TB","HDD","0","Windows 10","2.2kg",689,"Aspire","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"Nvidia","GeForce",2.2
"HP","Probook 430","Notebook",13.3,"Intel Core i7 8550U 1.8GHz","16GB","512GB","SSD","0","Windows 10","1.49kg",1197,"Probook","2",1920,1080,"Full HD","0","0","0","Intel","i7",7,16,"Intel","UHD",1.49
"Dell","Inspiron 7577","Gaming",15.6,"Intel Core i5 7300HQ 2.5GHz","8GB","256GB","SSD","0","Windows 10","2.65kg",1195,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Nvidia","GeForce",2.65
"Asus","Zenbook UX430UA","Ultrabook",14,"Intel Core i7 7500U 2.7GHz","8GB","256GB","SSD","0","Windows 10","1.25kg",1049,"Zenbook","3",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"Intel","HD",1.25
"Acer","Spin 5","2 in 1 Convertible",13.3,"Intel Core i5 8250U 1.6GHz","8GB","256GB","SSD","0","Windows 10","1.5kg",847,"Spin","2",1920,1080,"Full HD","1","1","0","Intel","i5",5,8,"Intel","UHD",1.5
"Dell","Inspiron 3567","Notebook",15.6,"Intel Core i7 7500U 2.7GHz","8GB","1TB","HDD","0","Linux","2.2kg",599.9,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"AMD","Radeon",2.2
"Dell","Inspiron 3567","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","256GB","SSD","0","Linux","2.2kg",485,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,4,"AMD","Radeon",2.2
"Asus","X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce","Notebook",15.6,"Intel Core i3 7100U 2.4GHz","6GB","256GB","SSD","0","Windows 10","2kg",577,"X541UV-DM1439T","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,6,"Nvidia","GeForce",2
"HP","Omen 15-ce007nv","Gaming",15.6,"Intel Core i7 7700HQ 2.8GHz","12GB","128GB","SSD","1","Windows 10","2.62kg",1249,"Omen","4",1920,1080,"Full HD","0","1","0","Intel","i7",7,12,"Nvidia","GeForce",2.62
"HP","15-bs017nv (i7-7500U/8GB/256GB/Radeon","Notebook",15.6,"Intel Core i7 7500U 2.7GHz","8GB","256GB","SSD","0","Windows 10","1.91kg",719,"15-bs017nv","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,8,"AMD","Radeon",1.91
"HP","15-bw000nv (E2-9000e/4GB/500GB/Radeon","Notebook",15.6,"AMD E-Series E2-9000e 1.5GHz","4GB","500GB","HDD","0","Windows 10","2.1kg",349,"15-bw000nv","4",1920,1080,"Full HD","0","0","0","AMD",NA,2,4,"AMD","Radeon",2.1
"Dell","Inspiron 3576","Notebook",15.6,"Intel Core i5 8250U 1.6GHz","8GB","1TB","HDD","0","Linux","2.2kg",647,"Inspiron","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"AMD","Radeon",2.2
"HP","Envy 13-ad009n","Ultrabook",13.3,"Intel Core i7 7500U 2.7GHz","8GB","256GB","SSD","0","Windows 10","1.38kg",1119,"Envy","2",1920,1080,"Full HD","0","1","0","Intel","i7",7,8,"Nvidia","GeForce",1.38
"Other","Surface Laptop","Ultrabook",13.5,"Intel Core i5 7200U 2.5GHz","8GB","256GB","SSD","0","Windows 10","1.252kg",1340,"Surface","2",2256,1504,NA,"1","0","0","Intel","i5",5,8,"Intel","HD",1.252
"HP","Pavilion 14-BK001nv","Notebook",14,"Intel Core i5 7200U 2.5GHz","6GB","256GB","SSD","0","Windows 10","1.58kg",659,"Pavilion","3",1920,1080,"Full HD","0","1","0","Intel","i5",5,6,"Nvidia","GeForce",1.58
"Lenovo","Ideapad 310-15ISK","Notebook",15.6,"Intel Core i3 6006U 2GHz","4GB","1TB","HDD","0","Windows 10","1.85kg",414.9,"Ideapad","4",1920,1080,"Full HD","0","0","0","Intel","i3",3,4,"Intel","HD",1.85
"Asus","UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce","Ultrabook",14,"Intel Core i7 7500U 2.7GHz","8GB","256GB","SSD","0","Windows 10","1.3kg",1193,"UX430UQ-GV209R","3",1920,1080,"Full HD","0","1","0","Intel","i7",7,8,"Nvidia","GeForce",1.3
"MSI","GP62M 7REX","Gaming",15.6,"Intel Core i7 7700HQ 2.8GHz","16GB","256GB","SSD","1","Windows 10","2.2kg",1299,"GP62M","4",1920,1080,"Full HD","0","0","0","Intel","i7",7,16,"Nvidia","GeForce",2.2
