"","Company","Product","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price_euros"
"41","Asus","X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 620","Linux","2kg",389
"42","Dell","Inspiron 7577","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.65kg",1499
"43","Asus","X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Nvidia GeForce 940MX","Linux","2.3kg",522.99
"44","Acer","Aspire A515-51G","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","Intel UHD Graphics 620","Windows 10","2.2kg",682
"45","Dell","Inspiron 7773","2 in 1 Convertible",17.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","12GB","1TB HDD","Nvidia GeForce 150MX","Windows 10","2.77kg",999
"46","Apple","MacBook Pro","Ultrabook",13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.0GHz","8GB","256GB SSD","Intel Iris Graphics 540","macOS","1.37kg",1419
"47","Lenovo","IdeaPad 320-15ISK","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","No OS","2.2kg",369
"48","Asus","Rog Strix","Gaming",17.3,"Full HD 1920x1080","AMD Ryzen 1700 3GHz","8GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows 10","3.2kg",1299
"49","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","AMD Radeon R5 M430","Windows 10","2.3kg",639
"50","Asus","X751NV-TY001T (N4200/4GB/1TB/GeForce","Notebook",17.3,"1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows 10","2.8kg",466
"51","Lenovo","Yoga Book","2 in 1 Convertible",10.1,"IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Android","0.69kg",319
"52","Acer","Aspire A515-51G","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce MX150","Windows 10","2.2kg",841
"53","HP","255 G6","Notebook",15.6,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","256GB SSD","AMD Radeon R4 Graphics","Windows 10","1.86kg",398.49
"54","HP","ProBook 430","Notebook",13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.49kg",1103
"55","Acer","Aspire 3","Notebook",15.6,"1366x768","Intel Core i3 7100U 2.4GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.4kg",384
"56","Dell","Inspiron 3576","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 520","Windows 10","2.13kg",767.8
"57","HP","15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.91kg",439
"58","Asus","VivoBook Max","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","2kg",586.19
"59","MSI","GS73VR 7RG","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070","Windows 10","2.43kg",2449
"60","Asus","X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","Intel HD Graphics 520","Linux","2kg",415
"61","Dell","Inspiron 5770","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.8kg",1299
"62","Dell","Vostro 5471","Ultrabook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.7kg",879
"63","Lenovo","IdeaPad 520S-14IKB","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","No OS","1.7kg",599
"64","Asus","UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)","Notebook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.4kg",941
"65","HP","250 G6","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.86kg",690
"66","Asus","ZenBook Pro","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10","1.8kg",1983
"67","HP","250 G6","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","AMD Radeon 520","Windows 10","1.86kg",438.69
"68","HP","Stream 14-AX040wm","Notebook",14,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","32GB SSD","Intel HD Graphics 400","Windows 10","1.44kg",229
"69","Lenovo","V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.9kg",549
"70","Asus","FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","1TB HDD","Nvidia GeForce GTX 1050 Ti","Linux","3kg",949
"71","Microsoft","Surface Laptop","Ultrabook",13.5,"Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10 S","1.252kg",1089
"72","Dell","Inspiron 5370","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","1.4kg",955
"73","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",870
"74","MSI","GL72M 7RDX","Gaming",17.3,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.7kg",1095
"75","Acer","Aspire E5-475","Notebook",14,"1366x768","Intel Core i3 6006U 2GHz","8GB","1TB HDD","Intel HD Graphics 520","Windows 10","2.1kg",389
"76","Asus","FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",949
"77","Lenovo","IdeaPad 320-15IKBN","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","2TB HDD","Intel HD Graphics 620","No OS","2.2kg",519
"78","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  1TB HDD","Intel UHD Graphics 620","Windows 10","2.02kg",855
"79","Acer","Aspire A515-51G-32MX","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Nvidia GeForce MX130","Windows 10","2.2kg",530
"80","HP","ProBook 470","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 930MX","Windows 10","2.5kg",977
"81","Dell","Latitude 5590","Ultrabook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.88kg",1096.16
"82","Apple","MacBook 12""","Ultrabook",12,"IPS Panel Retina Display 2304x1440","Intel Core i5 1.3GHz","8GB","512GB SSD","Intel HD Graphics 615","macOS","0.92kg",1510
"83","HP","ProBook 440","Notebook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.63kg",860
"84","Lenovo","IdeaPad 320-15AST","Notebook",15.6,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","128GB SSD","AMD R4 Graphics","Windows 10","2.2kg",399
"85","Acer","Aspire 3","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz","4GB","1TB HDD","AMD Radeon R5","Windows 10","2.1kg",395
"86","Dell","Inspiron 7577","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.65kg",1349
"87","HP","Pavilion 15-CK000nv","Ultrabook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 940MX","Windows 10","1.83kg",699
"88","HP","250 G6","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.96kg",598.99
"89","Asus","FX503VM-E4007T (i7-7700HQ/16GB/1TB","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.2kg",1449
"90","Dell","XPS 13","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.21kg",1649
"91","Asus","FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon","Gaming",15.6,"Full HD 1920x1080","AMD FX 9830P 3GHz","8GB","1TB HDD","AMD Radeon RX 560","Windows 10","2.45kg",699
"92","Acer","Aspire 5","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","1TB HDD","Nvidia GeForce MX150","Windows 10","2.2kg",689
"93","HP","Probook 430","Notebook",13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.49kg",1197
"94","Dell","Inspiron 7577","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1060","Windows 10","2.65kg",1195
"95","Asus","Zenbook UX430UA","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.25kg",1049
"96","Acer","Spin 5","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.5kg",847
"97","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","AMD Radeon R5 M430","Linux","2.2kg",599.9
"98","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 M430","Linux","2.2kg",485
"99","Asus","X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","6GB","256GB SSD","Nvidia GeForce 920M","Windows 10","2kg",577
"100","HP","Omen 15-ce007nv","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.62kg",1249
"101","HP","15-bs017nv (i7-7500U/8GB/256GB/Radeon","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","1.91kg",719
"102","HP","15-bw000nv (E2-9000e/4GB/500GB/Radeon","Notebook",15.6,"Full HD 1920x1080","AMD E-Series E2-9000e 1.5GHz","4GB","500GB HDD","AMD Radeon R2","Windows 10","2.1kg",349
"103","Dell","Inspiron 3576","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","AMD Radeon 520","Linux","2.2kg",647
"104","HP","Envy 13-ad009n","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce MX150","Windows 10","1.38kg",1119
"105","Microsoft","Surface Laptop","Ultrabook",13.5,"Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10 S","1.252kg",1340
"106","HP","Pavilion 14-BK001nv","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","6GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.58kg",659
"107","Lenovo","Ideapad 310-15ISK","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","1.85kg",414.9
"108","Asus","UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.3kg",1193
"109","MSI","GP62M 7REX","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.2kg",1299
"110","Lenovo","Thinkpad T470","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.58kg",1480
"111","Asus","VivoBook S15","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce MX150","Windows 10","1.5kg",1262
"112","Dell","XPS 13","Ultrabook",13.3,"Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7560U 2.4GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","Windows 10","1.23kg",1379
"113","Lenovo","ThinkPad Yoga","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.37kg",1399
"114","HP","Probook 440","Notebook",14,"IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz","4GB","500GB HDD","Intel UHD Graphics 620","Windows 10","1.63kg",722
"115","Dell","XPS 13","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.21kg",1629
"116","HP","Spectre x360","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.26kg",1398.99
"117","HP","Probook 440","Notebook",14,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.63kg",1084
"118","Dell","Inspiron 7570","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10","2.16kg",1130.33
"119","Asus","X705UV-BX074T (i3-6006U/4GB/1TB/GeForce","Notebook",17.3,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows 10","2kg",564
"120","Asus","VivoBook S15","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.7kg",1118
"121","Acer","Spin 3","Notebook",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz","6GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.1kg",479
"122","MSI","GS63VR 7RG","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070","Windows 10","1.8kg",2241.5
"123","Lenovo","IdeaPad 320-15IKBN","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 940MX","No OS","2.2kg",629
"124","HP","Probook 470","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Nvidia GeForce 930MX ","Windows 10","2.5kg",1271
"125","Acer","Aspire 3","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz","4GB","256GB SSD","AMD Radeon R5","Windows 10","2.1kg",451
"126","HP","250 G6","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","500GB HDD","Intel HD Graphics 400","No OS","1.86kg",259
"127","HP","Probook 440","Notebook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows 10","1.63kg",812
"128","Asus","E402WA-GA007T (E2-6110/4GB/64GB/W10","Notebook",14,"1366x768","AMD E-Series 6110 1.5GHz","4GB","64GB SSD","AMD Radeon R2","Windows 10 S","1.65kg",277.99
"129","Dell","Inspiron 5770","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.8kg",1396
"130","HP","ProBook 470","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","2.5kg",928
"131","Dell","Inspiron 5567","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Windows 10","2.36kg",638.99
"132","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","AMD Radeon R5 M430","Windows 10","2.2kg",449
"133","Acer","Swift 3","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.6kg",884
"134","Acer","Aspire A515-51G-37JS","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","256GB SSD","Nvidia GeForce MX130","Windows 10","2.2kg",572
"135","HP","15-BS078nr (i7-7500U/8GB/1TB/W10)","Notebook",15.6,"1366x768","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.05kg",598
"136","HP","Probook 440","Notebook",14,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.63kg",988
"137","Lenovo","V110-15IAP (N3350/4GB/1TB/No","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","No OS","1.9kg",252.36
"138","Asus","FX753VD-GC086T (i5-7300HQ/8GB/1TB","Gaming",17.3,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","3kg",938
