Company,Product,TypeName,Inches,Ram,Memory,OpSys,Weight_kg,Price_euros,LogPrice,Model,Inches_Binned,DisplayType,Touchscreen,IPS Panel,RetinaDisplay,ResolutionWidth,ResolutionHeight,ResolutionWidthCat,ResolutionPixels,CpuBrand,CpuProduct,CpuClockSpeed_GHz,Ram_GB,PrimaryMemory,SecondaryMemory,PrimaryMemSize,PrimaryMemType,Gpu_Brand,Gpu_Product
Apple,"MacBook 12""",Ultrabook,12.0,8GB,256GB SSD,macOS,0.92,1262.4,7.1407699500916095,MacBook,1,Retina Display 2304x1440,0,1,1,2304,1440,2304,15.014800414385828,Intel,Core M m3,1.2,8,256GB SSD,0,256GB,SSD,Intel,HD
Apple,MacBook Pro,Ultrabook,13.3,8GB,256GB SSD,macOS,1.37,1518.55,7.3255112111745335,MacBook,2,Retina Display 2560x1600,0,1,1,2560,1600,2560,15.22552144570148,Intel,Core i5,2.3,8,256GB SSD,0,256GB,SSD,Intel,Iris
Dell,Inspiron 3567,Notebook,15.6,8GB,256GB SSD,Windows 10,2.2,745.0,6.61338421837956,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7500U,2.7,8,256GB SSD,0,256GB,SSD,AMD,Radeon
Apple,MacBook Pro,Ultrabook,15.4,16GB,512GB SSD,macOS,1.83,2858.0,7.957877358489813,MacBook,4,Retina Display 2880x1800,0,1,1,2880,1800,2880,15.461087517014247,Intel,Core i7,2.9,16,512GB SSD,0,512GB,SSD,AMD,Radeon
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8GB,1TB HDD,No OS,2.2,499.0,6.212606095751519,IdeaPad,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 7100U,2.4,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Dell,XPS 13,Ultrabook,13.3,8GB,128GB SSD,Windows 10,1.22,979.0,6.88653164253051,XPS,2,Full HD  1920x1080,1,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,128GB SSD,0,128GB,SSD,Intel,UHD
Asus,Vivobook E200HA,Netbook,11.6,2GB,32GB Flash Storage,Windows 10,0.98,191.9,5.256974403013654,Vivobook,0,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Atom x5-Z8350,1.44,2,32GB Flash Storage,0,32GB,Flash Storage,Intel,HD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2.5,999.0,6.906754778648553,Legion,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7300HQ,2.5,8,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
HP,255 G6,Notebook,15.6,4GB,500GB HDD,No OS,1.86,258.0,5.552959584921617,255,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,AMD,E-Series E2-9000e,1.5,4,500GB HDD,0,500GB,HDD,AMD,Radeon
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8GB,256GB SSD,Windows 10,1.62,819.0,6.708084083853069,Inspiron,2,Full HD  1920x1080,1,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD,0,256GB,SSD,Intel,UHD
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8GB,256GB SSD,Windows 10,1.91,659.0,6.490723534502507,15-BS101nv,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,Intel,HD
Dell,Inspiron 3567,Notebook,15.6,4GB,1TB HDD,Windows 10,2.3,418.64,6.037011362063952,Inspiron,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i3 6006U,2.0,4,1TB HDD,0,1TB,HDD,Intel,HD
Apple,MacBook Air,Ultrabook,13.3,8GB,128GB Flash Storage,macOS,1.35,1099.0,7.002155954403621,MacBook,2,1440x900,0,0,0,1440,900,1440,14.074793155894357,Intel,Core i5,1.6,8,128GB Flash Storage,0,128GB,Flash Storage,Intel,HD
Dell,Inspiron 5570,Notebook,15.6,8GB,256GB SSD,Windows 10,2.2,800.0,6.684611727667927,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD,0,256GB,SSD,AMD,Radeon
Dell,Latitude 5590,Ultrabook,15.6,8GB,256GB SSD +  256GB SSD,Windows 10,1.88,1298.0,7.168579897264035,Latitude,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8650U,1.9,8,256GB SSD +,1,256GB,SSD +,Intel,UHD
HP,ProBook 470,Notebook,17.3,8GB,1TB HDD,Windows 10,2.5,896.0,6.79794041297493,ProBook,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Other,"LapBook 15.6""",Notebook,15.6,4GB,64GB Flash Storage,Windows 10,1.89,244.99,5.501217393385187,LapBook,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Atom x5-Z8300,1.44,4,64GB Flash Storage,0,64GB,Flash Storage,Intel,HD
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2GB,32GB Flash Storage,Windows 10,1.65,199.0,5.293304824724492,E402WA-GA010T,3,1366x768,0,0,0,1366,768,1366,13.863431773278407,AMD,E-Series E2-6110,1.5,2,32GB Flash Storage,0,32GB,Flash Storage,AMD,Radeon
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4GB,500GB HDD,Windows 10,2.71,439.0,6.0844994130751715,17-ak001nv,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,AMD,A6-Series 9220,2.5,4,500GB HDD,0,500GB,HDD,AMD,Radeon
Dell,XPS 13,Ultrabook,13.3,16GB,512GB SSD,Windows 10,1.2,1869.0,7.533158807455562,XPS,2,Quad HD+ 3200x1800,1,0,0,3200,1800,3200,15.566448032672074,Intel,Core i7 8550U,1.8,16,512GB SSD,0,512GB,SSD,Intel,UHD
Apple,MacBook Air,Ultrabook,13.3,8GB,256GB Flash Storage,macOS,1.35,998.0,6.905753276311464,MacBook,2,1440x900,0,0,0,1440,900,1440,14.074793155894357,Intel,Core i5,1.6,8,256GB Flash Storage,0,256GB,Flash Storage,Intel,HD
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4GB,64GB Flash Storage,Windows 10,1.44,249.0,5.517452896464707,IdeaPad,3,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3350,1.1,4,64GB Flash Storage,0,64GB,Flash Storage,Intel,HD
Acer,Aspire 3,Notebook,15.6,4GB,1TB HDD,Linux,2.1,367.0,5.90536184805457,Aspire,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i3 7130U,2.7,4,1TB HDD,0,1TB,HDD,Intel,HD
Dell,Inspiron 5770,Notebook,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2.8,979.0,6.88653164253051,Inspiron,5,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,128GB SSD +,1,128GB,SSD +,AMD,Radeon
HP,250 G6,Notebook,15.6,4GB,1TB HDD,Windows 10,1.86,488.69,6.191728341615349,250,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i5 7200U,2.5,4,1TB HDD,0,1TB,HDD,Intel,HD
HP,ProBook 450,Notebook,15.6,8GB,256GB SSD,Windows 10,2.1,879.0,6.778784897685177,ProBook,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4GB,1TB HDD,Linux,2.0,389.0,5.963579343618446,X540UA-DM186,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 6006U,2.0,4,1TB HDD,0,1TB,HDD,Intel,HD
Dell,Inspiron 7577,Gaming,15.6,16GB,256GB SSD +  1TB HDD,Windows 10,2.65,1499.0,7.312553498102598,Inspiron,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,16,256GB SSD +,1,256GB,SSD +,Nvidia,GeForce
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8GB,1TB HDD,Linux,2.3,522.99,6.259562343423234,X542UQ-GO005,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i5 7200U,2.5,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Acer,Aspire A515-51G,Notebook,15.6,4GB,256GB SSD,Windows 10,2.2,682.0,6.5250296578434615,Aspire,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,4,256GB SSD,0,256GB,SSD,Intel,UHD
Dell,Inspiron 7773,2 in 1 Convertible,17.3,12GB,1TB HDD,Windows 10,2.77,999.0,6.906754778648553,Inspiron,5,Full HD  1920x1080,1,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,12,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Apple,MacBook Pro,Ultrabook,13.3,8GB,256GB SSD,macOS,1.37,1419.0,7.257707677160043,MacBook,2,Retina Display 2560x1600,0,1,1,2560,1600,2560,15.22552144570148,Intel,Core i5,2.0,8,256GB SSD,0,256GB,SSD,Intel,Iris
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4GB,128GB SSD,No OS,2.2,369.0,5.910796644040527,IdeaPad,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i3 6006U,2.0,4,128GB SSD,0,128GB,SSD,Intel,HD
Asus,Rog Strix,Gaming,17.3,8GB,256GB SSD +  1TB HDD,Windows 10,3.2,1299.0,7.1693500166706,Rog,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,AMD,Ryzen 1700,3.0,8,256GB SSD +,1,256GB,SSD +,AMD,Radeon
Dell,Inspiron 3567,Notebook,15.6,4GB,256GB SSD,Windows 10,2.3,639.0,6.459904454377535,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,4,256GB SSD,0,256GB,SSD,AMD,Radeon
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4GB,1TB HDD,Windows 10,2.8,466.0,6.144185634125646,X751NV-TY001T,5,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Pentium Quad Core N4200,1.1,4,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Lenovo,Yoga Book,2 in 1 Convertible,10.1,4GB,64GB Flash Storage,Chrome/Android,0.69,319.0,5.765191102784844,Yoga,0,1920x1200,1,1,0,1920,1200,1920,14.650157300797918,Intel,Atom x5-Z8550,1.44,4,64GB Flash Storage,0,64GB,Flash Storage,Intel,HD
Acer,Aspire A515-51G,Notebook,15.6,8GB,256GB SSD,Windows 10,2.2,841.0,6.734591659972947,Aspire,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
HP,255 G6,Notebook,15.6,4GB,256GB SSD,Windows 10,1.86,398.49,5.987682403812522,255,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,AMD,A6-Series 9220,2.5,4,256GB SSD,0,256GB,SSD,AMD,Radeon
HP,ProBook 430,Notebook,13.3,8GB,512GB SSD,Windows 10,1.49,1103.0,7.005789019253502,ProBook,2,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,512GB SSD,0,512GB,SSD,Intel,UHD
Acer,Aspire 3,Notebook,15.6,4GB,1TB HDD,Windows 10,2.4,384.0,5.950642552587727,Aspire,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i3 7100U,2.4,4,1TB HDD,0,1TB,HDD,Intel,HD
Dell,Inspiron 3576,Notebook,15.6,8GB,256GB SSD,Windows 10,2.13,767.8,6.643529282566697,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,AMD,Radeon
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4GB,128GB SSD,Windows 10,1.91,439.0,6.0844994130751715,15-bs002nv,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 6006U,2.0,4,128GB SSD,0,128GB,SSD,Intel,HD
Asus,VivoBook Max,Notebook,15.6,4GB,256GB SSD,Windows 10,2.0,586.19,6.373643969107062,VivoBook,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i5 7200U,2.5,4,256GB SSD,0,256GB,SSD,Intel,HD
MSI,GS73VR 7RG,Gaming,17.3,16GB,256GB SSD +  2TB HDD,Windows 10,2.43,2449.0,7.803435056952168,GS73VR,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,16,256GB SSD +,1,256GB,SSD +,Nvidia,GeForce
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4GB,256GB SSD,Linux,2.0,415.0,6.028278520230698,X541UA-DM1897,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 6006U,2.0,4,256GB SSD,0,256GB,SSD,Intel,HD
Dell,Inspiron 5770,Notebook,17.3,16GB,256GB SSD +  2TB HDD,Windows 10,2.8,1299.0,7.1693500166706,Inspiron,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,16,256GB SSD +,1,256GB,SSD +,AMD,Radeon
Dell,Vostro 5471,Ultrabook,14.0,8GB,256GB SSD,Windows 10,1.7,879.0,6.778784897685177,Vostro,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD,0,256GB,SSD,Intel,UHD
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8GB,256GB SSD,No OS,1.7,599.0,6.395261598115449,IdeaPad,3,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i3 7130U,2.7,8,256GB SSD,0,256GB,SSD,Intel,HD
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8GB,256GB SSD,Windows 10,1.4,941.0,6.846943139585379,UX410UA-GV350T,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD,0,256GB,SSD,Intel,UHD
HP,250 G6,Notebook,15.6,8GB,256GB SSD,Windows 10,1.86,690.0,6.536691597591305,250,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Asus,ZenBook Pro,Ultrabook,15.6,16GB,512GB SSD,Windows 10,1.8,1983.0,7.592366128519796,ZenBook,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,16,512GB SSD,0,512GB,SSD,Nvidia,GeForce
HP,250 G6,Notebook,15.6,4GB,500GB HDD,Windows 10,1.86,438.69,6.083793013291897,250,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i3 6006U,2.0,4,500GB HDD,0,500GB,HDD,AMD,Radeon
HP,Stream 14-AX040wm,Notebook,14.0,4GB,32GB SSD,Windows 10,1.44,229.0,5.433722003554239,Stream,3,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3060,1.6,4,32GB SSD,0,32GB,SSD,Intel,HD
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4GB,1TB HDD,Windows 10,1.9,549.0,6.3080984415095305,V310-15ISK,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,4,1TB HDD,0,1TB,HDD,Intel,HD
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12GB,1TB HDD,Linux,3.0,949.0,6.855408798609927,FX753VE-GC093,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,12,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Other,Surface Laptop,Ultrabook,13.5,4GB,128GB SSD,Windows 10,1.252,1089.0,6.9930151229329605,Surface,2,2256x1504,1,0,0,2256,1504,2256,15.037232117127735,Intel,Core i5 7200U,2.5,4,128GB SSD,0,128GB,SSD,Intel,HD
Dell,Inspiron 5370,Ultrabook,13.3,8GB,256GB SSD,Windows 10,1.4,955.0,6.86171134048073,Inspiron,2,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,AMD,Radeon
Dell,Inspiron 5570,Notebook,15.6,8GB,256GB SSD,Windows 10,2.2,870.0,6.768493211648629,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,AMD,Radeon
MSI,GL72M 7RDX,Gaming,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2.7,1095.0,6.998509642250601,GL72M,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7300HQ,2.5,8,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
Acer,Aspire E5-475,Notebook,14.0,8GB,1TB HDD,Windows 10,2.1,389.0,5.963579343618446,Aspire,3,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i3 6006U,2.0,8,1TB HDD,0,1TB,HDD,Intel,HD
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8GB,1TB HDD,Windows 10,2.2,949.0,6.855408798609927,FX503VD-E4022T,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8GB,2TB HDD,No OS,2.2,519.0,6.251903883165888,IdeaPad,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,2TB HDD,0,2TB,HDD,Intel,HD
Dell,Inspiron 5570,Notebook,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2.02,855.0,6.75110146893676,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,128GB SSD +,1,128GB,SSD +,Intel,UHD
Acer,Aspire A515-51G-32MX,Notebook,15.6,4GB,1TB HDD,Windows 10,2.2,530.0,6.272877006546167,Aspire,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 7130U,2.7,4,1TB HDD,0,1TB,HDD,Nvidia,GeForce
HP,ProBook 470,Notebook,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2.5,977.0,6.884486652042782,ProBook,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
Dell,Latitude 5590,Ultrabook,15.6,8GB,256GB SSD,Windows 10,1.88,1096.16,6.9995684422545885,Latitude,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD,0,256GB,SSD,Intel,UHD
Apple,"MacBook 12""",Ultrabook,12.0,8GB,512GB SSD,macOS,0.92,1510.0,7.31986492980897,MacBook,1,Retina Display 2304x1440,0,1,1,2304,1440,2304,15.014800414385828,Intel,Core i5,1.3,8,512GB SSD,0,512GB,SSD,Intel,HD
HP,ProBook 440,Notebook,14.0,8GB,256GB SSD,Windows 10,1.63,860.0,6.756932389247553,ProBook,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD,0,256GB,SSD,Intel,HD
Acer,Aspire 3,Notebook,15.6,4GB,1TB HDD,Windows 10,2.1,395.0,5.978885764901122,Aspire,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,AMD,A9-Series 9420,3.0,4,1TB HDD,0,1TB,HDD,AMD,Radeon
Dell,Inspiron 7577,Gaming,15.6,16GB,128GB SSD +  1TB HDD,Windows 10,2.65,1349.0,7.207118856207756,Inspiron,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,16,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
HP,Pavilion 15-CK000nv,Ultrabook,15.6,8GB,256GB SSD,Windows 10,1.83,699.0,6.54965074223381,Pavilion,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
HP,250 G6,Notebook,15.6,8GB,256GB SSD,Windows 10,1.96,598.99,6.395244903485277,250,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16GB,128GB SSD +  1TB HDD,Windows 10,2.2,1449.0,7.278628942320682,FX503VM-E4007T,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,16,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
Dell,XPS 13,Ultrabook,13.3,8GB,256GB SSD,Windows 10,1.21,1649.0,7.407924322559599,XPS,2,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,Intel,UHD
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8GB,1TB HDD,Windows 10,2.45,699.0,6.54965074223381,FX550IK-DM018T,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,AMD,FX 9830P,3.0,8,1TB HDD,0,1TB,HDD,AMD,Radeon
Acer,Aspire 5,Notebook,15.6,8GB,1TB HDD,Windows 10,2.2,689.0,6.535241271013659,Aspire,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
HP,Probook 430,Notebook,13.3,16GB,512GB SSD,Windows 10,1.49,1197.0,7.087573705557973,Probook,2,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,16,512GB SSD,0,512GB,SSD,Intel,UHD
Dell,Inspiron 7577,Gaming,15.6,8GB,256GB SSD,Windows 10,2.65,1195.0,7.085901464365611,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7300HQ,2.5,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
